frame,time,mode,rl_correction_enabled,forward_steer_correction_gain,forward_throttle_correction_gain,reverse_steer_correction_gain,reverse_throttle_correction_gain,forward_steer_trim,reverse_steer_trim,selected_model,input_throttle,input_steer,baseline_throttle,baseline_steer,raw_residual_throttle,raw_residual_steer,residual_throttle,residual_steer,action_throttle,action_steer,carla_pos_x,carla_pos_y,carla_pos_z,carla_yaw_deg,carla_rot_0,carla_rot_1,carla_rot_2,carla_rot_3,speed_mps,model_pos_x,model_pos_y,model_pos_z,model_rot_0,model_rot_1,model_rot_2,model_rot_3,pred_delta_0,pred_delta_1,pred_delta_2,pred_delta_3,pred_delta_3_raw,yaw_jump_suppressed
1,0.05,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.5314000844955444,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.5461000204086304,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
2,0.1,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.5167001485824585,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.5314000844955444,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
3,0.15000000000000002,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.5020002126693726,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.5167001485824585,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
4,0.2,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.4873002767562866,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.5020002126693726,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
5,0.25,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.4726003408432007,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.4873002767562866,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
6,0.30000000000000004,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.45790040493011475,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.4726003408432007,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
7,0.35000000000000003,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.4432004690170288,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.45790040493011475,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
8,0.4,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.42850053310394287,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.4432004690170288,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
9,0.45,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.41380059719085693,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.42850053310394287,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
10,0.5,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.3991006910800934,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.41380059719085693,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
11,0.55,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.38440075516700745,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.3991006910800934,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
12,0.6000000000000001,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.3697008192539215,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.38440075516700745,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
13,0.65,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.35500088334083557,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.3697008192539215,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
14,0.7000000000000001,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.34030094742774963,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.35500088334083557,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
15,0.75,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.3256010115146637,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.34030094742774963,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
16,0.8,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.31090107560157776,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.3256010115146637,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
17,0.8500000000000001,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.2962011396884918,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.31090107560157776,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
18,0.9,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.2815012037754059,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.2962011396884918,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
19,0.9500000000000001,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.26680126786231995,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.2815012037754059,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
20,1.0,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.252101331949234,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.26680126786231995,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
21,1.05,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.23740138113498688,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.252101331949234,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
22,1.1,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.22270141541957855,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.23740138113498688,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
23,1.1500000000000001,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.20800143480300903,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.22270141541957855,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
24,1.2000000000000002,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.1933014690876007,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.20800143480300903,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
25,1.25,IDLE,0,0.6,0.15,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64.64484405517578,24.471010208129883,0.1786014884710312,0.15919795632362366,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.4899999797344208,-24.471010208129883,0.1933014690876007,64.64484405517578,0.0,0.0,0.0013892638962715864,0.9999990463256836,0.0,0.0,0.0,0.0,0.0,0
